Date,Open,High,Low,Close,Adj Close,Volume
2022-11-28,263.000000,270.000000,259.000000,265.500000,265.500000,4286710
2022-11-29,266.000000,270.000000,264.000000,267.000000,267.000000,3831666
2022-11-30,267.000000,269.000000,265.500000,266.000000,266.000000,3737332
2022-12-01,270.000000,273.500000,267.000000,271.500000,271.500000,2959974
2022-12-02,273.000000,277.000000,271.000000,277.000000,277.000000,3374701
2022-12-05,276.500000,283.000000,275.000000,283.000000,283.000000,2739074
2022-12-06,281.500000,281.500000,275.500000,277.500000,277.500000,2536507
2022-12-07,275.000000,275.500000,271.500000,272.000000,272.000000,2839777
2022-12-08,272.000000,274.000000,266.000000,268.000000,268.000000,2274131
2022-12-09,269.500000,270.000000,266.000000,268.500000,268.500000,1820020
2022-12-12,266.000000,273.000000,262.000000,273.000000,273.000000,2190315
2022-12-13,271.000000,271.500000,266.500000,267.500000,267.500000,2362664
2022-12-14,270.500000,273.500000,269.500000,273.000000,273.000000,2135675
2022-12-15,272.000000,272.500000,266.500000,267.000000,267.000000,2059854
2022-12-16,264.000000,267.000000,262.000000,265.500000,265.500000,7575178
2022-12-19,263.000000,267.000000,261.500000,264.000000,264.000000,6579923
2022-12-20,267.000000,271.000000,266.000000,269.000000,269.000000,8683270
2022-12-21,269.000000,269.000000,263.500000,266.000000,266.000000,6662926
2022-12-22,270.500000,278.000000,269.000000,275.500000,275.500000,6243523
2022-12-23,272.000000,273.000000,270.000000,271.000000,271.000000,1378476
2022-12-26,272.000000,273.000000,271.000000,272.000000,272.000000,720666
2022-12-27,272.500000,273.500000,270.000000,270.000000,270.000000,732611
2022-12-28,268.000000,270.000000,268.000000,269.000000,269.000000,1072591
2022-12-29,267.500000,270.500000,264.500000,269.000000,269.000000,1437408
2022-12-30,270.000000,270.000000,268.500000,268.500000,268.500000,773245
2023-01-03,267.000000,271.000000,266.000000,270.000000,270.000000,1049876
2023-01-04,271.500000,271.500000,268.500000,268.500000,268.500000,749417
2023-01-05,271.000000,275.000000,271.000000,271.000000,271.000000,1159580
2023-01-06,272.000000,273.000000,270.000000,271.500000,271.500000,625059
2023-01-09,273.500000,275.500000,272.500000,275.000000,275.000000,1470961
2023-01-10,274.000000,274.000000,269.500000,269.500000,269.500000,2029005
2023-01-11,270.500000,271.500000,269.000000,269.000000,269.000000,1517495
2023-01-12,270.000000,270.500000,263.500000,265.000000,265.000000,1623230
